x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.193649	22499.8	1.00001e+16
0.1943	4.75807e+10	1.00001e+16
0.194951	9.51611e+10	1.00002e+16
0.195601	1.42741e+11	1.00002e+16
0.196252	1.90321e+11	1.00003e+16
0.196903	2.37901e+11	1.00003e+16
0.197554	2.8548e+11	1.00004e+16
0.198204	3.33059e+11	1.00004e+16
0.198855	3.80638e+11	1.00005e+16
0.199506	4.28217e+11	1.00005e+16
0.200156	4.75796e+11	1.00006e+16
0.200807	5.23374e+11	1.00006e+16
0.201458	5.70952e+11	1.00007e+16
0.202109	6.18529e+11	1.00007e+16
0.202759	6.66107e+11	1.00007e+16
0.20341	7.13684e+11	1.00008e+16
0.204061	7.61261e+11	1.00008e+16
0.204712	8.08838e+11	1.00009e+16
0.205362	8.56414e+11	1.00009e+16
0.206013	9.0399e+11	1.0001e+16
0.206664	9.51566e+11	1.0001e+16
0.207315	9.99142e+11	1.00011e+16
0.207965	1.04672e+12	1.00011e+16
0.208616	1.09429e+12	1.00012e+16
0.209267	1.14187e+12	1.00012e+16
0.209917	1.18944e+12	1.00013e+16
0.210568	1.23702e+12	1.00013e+16
0.211219	1.28459e+12	1.00013e+16
0.21187	1.33217e+12	1.00014e+16
0.21252	1.37974e+12	1.00014e+16
0.213171	1.42731e+12	1.00015e+16
0.213822	1.47489e+12	1.00015e+16
0.214473	1.52246e+12	1.00016e+16
0.215123	1.57003e+12	1.00016e+16
0.215774	1.6176e+12	1.00017e+16
0.216425	1.66518e+12	1.00017e+16
0.217076	1.71275e+12	1.00018e+16
0.217726	1.76032e+12	1.00018e+16
0.218377	1.80789e+12	1.00019e+16
0.219028	1.85546e+12	1.00019e+16
0.219678	1.90303e+12	1.0002e+16
0.220329	1.9506e+12	1.0002e+16
0.22098	1.99817e+12	1.0002e+16
0.221631	2.04574e+12	1.00021e+16
0.222281	2.09331e+12	1.00021e+16
0.222932	2.14088e+12	1.00022e+16
0.223583	2.18845e+12	1.00022e+16
0.224234	2.23602e+12	1.00023e+16
0.224884	2.28359e+12	1.00023e+16
0.225535	2.33116e+12	1.00024e+16
0.226186	2.37873e+12	1.00024e+16
0.226837	2.4263e+12	1.00025e+16
0.227487	2.47387e+12	1.00025e+16
0.228138	2.52143e+12	1.00026e+16
0.228789	2.569e+12	1.00026e+16
0.229439	2.61657e+12	1.00027e+16
0.23009	2.66413e+12	1.00027e+16
0.230741	2.7117e+12	1.00027e+16
0.231392	2.75927e+12	1.00028e+16
0.232042	2.80683e+12	1.00028e+16
0.232693	2.8544e+12	1.00029e+16
0.233344	2.90197e+12	1.00029e+16
0.233995	2.94953e+12	1.0003e+16
0.234645	2.9971e+12	1.0003e+16
0.235296	3.04466e+12	1.00031e+16
0.235947	3.09223e+12	1.00031e+16
0.236597	3.13979e+12	1.00032e+16
0.237248	3.18736e+12	1.00032e+16
0.237899	3.23492e+12	1.00033e+16
0.23855	3.28248e+12	1.00033e+16
0.2392	3.33005e+12	1.00034e+16
0.239851	3.37761e+12	1.00034e+16
0.240502	3.42517e+12	1.00035e+16
0.241153	3.47274e+12	1.00035e+16
0.241803	3.5203e+12	1.00035e+16
0.242454	3.56786e+12	1.00036e+16
0.243105	3.61542e+12	1.00036e+16
0.243756	3.66298e+12	1.00037e+16
0.244406	3.71055e+12	1.00037e+16
0.245057	3.75811e+12	1.00038e+16
0.245708	3.80567e+12	1.00038e+16
0.246358	3.85323e+12	1.00039e+16
0.247009	3.90079e+12	1.00039e+16
0.24766	3.94835e+12	1.0004e+16
0.248311	3.99591e+12	1.0004e+16
0.248961	4.04347e+12	1.00041e+16
0.249612	4.09103e+12	1.00041e+16
0.250263	4.13859e+12	1.00042e+16
0.250914	4.18615e+12	1.00042e+16
0.251564	4.23371e+12	1.00043e+16
0.252215	4.28126e+12	1.00043e+16
0.252866	4.32882e+12	1.00043e+16
0.253517	4.37638e+12	1.00044e+16
0.254167	4.42394e+12	1.00044e+16
0.254818	4.4715e+12	1.00045e+16
0.255469	4.51905e+12	1.00045e+16
0.256119	4.56661e+12	1.00046e+16
0.25677	4.61417e+12	1.00046e+16
0.257421	4.66172e+12	1.00047e+16
0.258072	4.70928e+12	1.00047e+16
0.258722	4.75684e+12	1.00048e+16
0.259373	4.80439e+12	1.00048e+16
0.260024	4.85195e+12	1.00049e+16
0.260675	4.8995e+12	1.00049e+16
0.261325	4.94706e+12	1.0005e+16
0.261976	4.99461e+12	1.0005e+16
0.262627	5.04217e+12	1.00051e+16
0.263278	5.08972e+12	1.00051e+16
0.263928	5.13727e+12	1.00052e+16
0.264579	5.18483e+12	1.00052e+16
0.26523	5.23238e+12	1.00052e+16
0.26588	5.27993e+12	1.00053e+16
0.266531	5.32749e+12	1.00053e+16
0.267182	5.37504e+12	1.00054e+16
0.267833	5.42259e+12	1.00054e+16
0.268483	5.47015e+12	1.00055e+16
0.269134	5.5177e+12	1.00055e+16
0.269785	5.56525e+12	1.00056e+16
0.270436	5.6128e+12	1.00056e+16
0.271086	5.66035e+12	1.00057e+16
0.271737	5.7079e+12	1.00057e+16
0.272388	5.75545e+12	1.00058e+16
