x [um]	Total Charge Density [C/cm^3]
0.193649	1.54251e-08
0.1943	1.54251e-08
0.194951	1.51771e-08
0.195601	1.49328e-08
0.196252	1.46924e-08
0.196903	1.44558e-08
0.197554	1.42228e-08
0.198204	1.39935e-08
0.198855	1.37677e-08
0.199506	1.35455e-08
0.200156	1.33267e-08
0.200807	1.31114e-08
0.201458	1.28994e-08
0.202109	1.26907e-08
0.202759	1.24853e-08
0.20341	1.22831e-08
0.204061	1.2084e-08
0.204712	1.18881e-08
0.205362	1.16951e-08
0.206013	1.15052e-08
0.206664	1.13183e-08
0.207315	1.11343e-08
0.207965	1.09531e-08
0.208616	1.07748e-08
0.209267	1.05992e-08
0.209917	1.04264e-08
0.210568	1.02563e-08
0.211219	1.00888e-08
0.21187	9.92397e-09
0.21252	9.76168e-09
0.213171	9.60191e-09
0.213822	9.44464e-09
0.214473	9.28981e-09
0.215123	9.1374e-09
0.215774	8.98736e-09
0.216425	8.83965e-09
0.217076	8.69425e-09
0.217726	8.55111e-09
0.218377	8.41019e-09
0.219028	8.27147e-09
0.219678	8.13491e-09
0.220329	8.00048e-09
0.22098	7.86814e-09
0.221631	7.73785e-09
0.222281	7.6096e-09
0.222932	7.48333e-09
0.223583	7.35904e-09
0.224234	7.23667e-09
0.224884	7.11621e-09
0.225535	6.99762e-09
0.226186	6.88088e-09
0.226837	6.76595e-09
0.227487	6.65281e-09
0.228138	6.54142e-09
0.228789	6.43177e-09
0.229439	6.32382e-09
0.23009	6.21755e-09
0.230741	6.11293e-09
0.231392	6.00993e-09
0.232042	5.90854e-09
0.232693	5.80871e-09
0.233344	5.71044e-09
0.233995	5.6137e-09
0.234645	5.51845e-09
0.235296	5.42469e-09
0.235947	5.33237e-09
0.236597	5.2415e-09
0.237248	5.15203e-09
0.237899	5.06395e-09
0.23855	4.97723e-09
0.2392	4.89186e-09
0.239851	4.80781e-09
0.240502	4.72507e-09
0.241153	4.64361e-09
0.241803	4.56341e-09
0.242454	4.48445e-09
0.243105	4.40672e-09
0.243756	4.33019e-09
0.244406	4.25484e-09
0.245057	4.18067e-09
0.245708	4.10764e-09
0.246358	4.03574e-09
0.247009	3.96495e-09
0.24766	3.89526e-09
0.248311	3.82665e-09
0.248961	3.7591e-09
0.249612	3.69259e-09
0.250263	3.62711e-09
0.250914	3.56265e-09
0.251564	3.49918e-09
0.252215	3.43669e-09
0.252866	3.37516e-09
0.253517	3.31459e-09
0.254167	3.25495e-09
0.254818	3.19623e-09
0.255469	3.13842e-09
0.256119	3.0815e-09
0.25677	3.02546e-09
0.257421	2.97029e-09
0.258072	2.91596e-09
0.258722	2.86247e-09
0.259373	2.80981e-09
0.260024	2.75796e-09
0.260675	2.7069e-09
0.261325	2.65664e-09
0.261976	2.60714e-09
0.262627	2.55841e-09
0.263278	2.51043e-09
0.263928	2.46319e-09
0.264579	2.41667e-09
0.26523	2.37087e-09
0.26588	2.32577e-09
0.266531	2.28137e-09
0.267182	2.23765e-09
0.267833	2.1946e-09
0.268483	2.15221e-09
0.269134	2.11047e-09
0.269785	2.06938e-09
0.270436	2.02891e-09
0.271086	1.98906e-09
0.271737	1.94983e-09
0.272388	1.9112e-09
0.273038	1.87315e-09
0.273689	1.8357e-09
0.27434	1.79881e-09
0.274991	1.76249e-09
0.275641	1.72672e-09
0.276292	1.69151e-09
0.276943	1.65683e-09
0.277594	1.62268e-09
0.278244	1.58905e-09
0.278895	1.55594e-09
0.279546	1.52333e-09
0.280197	1.49122e-09
0.280847	1.4596e-09
0.281498	1.42846e-09
0.282149	1.3978e-09
0.282799	1.3676e-09
0.28345	1.33786e-09
0.284101	1.30858e-09
0.284752	1.27974e-09
0.285402	1.25134e-09
