x [um]	Total Current Density [Amp/cm^2]
0.193649	0
0.1943	4.1775
0.194951	4.1775
0.195601	4.1775
0.196252	4.1775
0.196903	4.1775
0.197554	4.1775
0.198204	4.1775
0.198855	4.1775
0.199506	4.1775
0.200156	4.1775
0.200807	4.1775
0.201458	4.1775
0.202109	4.1775
0.202759	4.1775
0.20341	4.1775
0.204061	4.1775
0.204712	4.1775
0.205362	4.1775
0.206013	4.1775
0.206664	4.1775
0.207315	4.1775
0.207965	4.1775
0.208616	4.1775
0.209267	4.1775
0.209917	4.17751
0.210568	4.17751
0.211219	4.17751
0.21187	4.17751
0.21252	4.17751
0.213171	4.17751
0.213822	4.17751
0.214473	4.17751
0.215123	4.17751
0.215774	4.17751
0.216425	4.17751
0.217076	4.17751
0.217726	4.17751
0.218377	4.17751
0.219028	4.17751
0.219678	4.17751
0.220329	4.17751
0.22098	4.17752
0.221631	4.17752
0.222281	4.17752
0.222932	4.17752
0.223583	4.17752
0.224234	4.17752
0.224884	4.17752
0.225535	4.17752
0.226186	4.17752
0.226837	4.17752
0.227487	4.17752
0.228138	4.17752
0.228789	4.17753
0.229439	4.17753
0.23009	4.17753
0.230741	4.17753
0.231392	4.17753
0.232042	4.17753
0.232693	4.17753
0.233344	4.17753
0.233995	4.17753
0.234645	4.17753
0.235296	4.17754
0.235947	4.17754
0.236597	4.17754
0.237248	4.17754
0.237899	4.17754
0.23855	4.17754
0.2392	4.17754
0.239851	4.17754
0.240502	4.17754
0.241153	4.17755
0.241803	4.17755
0.242454	4.17755
0.243105	4.17755
0.243756	4.17755
0.244406	4.17755
0.245057	4.17755
0.245708	4.17755
0.246358	4.17756
0.247009	4.17756
0.24766	4.17756
0.248311	4.17756
0.248961	4.17756
0.249612	4.17756
0.250263	4.17756
0.250914	4.17756
0.251564	4.17757
0.252215	4.17757
0.252866	4.17757
0.253517	4.17757
0.254167	4.17757
0.254818	4.17757
0.255469	4.17757
0.256119	4.17758
0.25677	4.17758
0.257421	4.17758
0.258072	4.17758
0.258722	4.17758
0.259373	4.17758
0.260024	4.17758
0.260675	4.17759
0.261325	4.17759
0.261976	4.17759
0.262627	4.17759
0.263278	4.17759
0.263928	4.17759
0.264579	4.1776
0.26523	4.1776
0.26588	4.1776
0.266531	4.1776
0.267182	4.1776
0.267833	4.1776
0.268483	4.17761
0.269134	4.17761
0.269785	4.17761
0.270436	4.17761
0.271086	4.17761
0.271737	4.17761
0.272388	4.17762
0.273038	4.17762
0.273689	4.17762
0.27434	4.17762
0.274991	4.17762
0.275641	4.17762
0.276292	4.17763
0.276943	4.17763
0.277594	4.17763
0.278244	4.17763
0.278895	4.17763
0.279546	4.17764
0.280197	4.17764
0.280847	4.17764
0.281498	4.17764
0.282149	4.17764
0.282799	4.17764
0.28345	4.17765
0.284101	4.17765
0.284752	4.17765
0.285402	4.17765
0.286053	4.17765
0.286704	4.17766
0.287355	4.17766
0.288005	4.17766
0.288656	4.17766
0.289307	4.17766
0.289958	4.17767
0.290608	4.17767
0.291259	4.17767
0.29191	4.17767
0.29256	4.17767
0.293211	4.17768
0.293862	4.17768
0.294513	4.17768
0.295163	4.17768
0.295814	4.17768
0.296465	4.17769
0.297116	4.17769
0.297766	4.17769
0.298417	4.17769
0.299068	4.17769
0.299719	4.1777
0.300369	4.1777
0.30102	4.1777
0.301671	4.1777
0.302321	4.1777
0.302972	4.17771
0.303623	4.17771
0.304274	4.17771
0.304924	4.17771
0.305575	4.17771
0.306226	4.17772
0.306877	4.17772
0.307527	4.17772
0.308178	4.17772
0.308829	4.17773
0.30948	4.17773
0.31013	4.17773
0.310781	4.17773
0.311432	4.17773
0.312082	4.17774
0.312733	4.17774
0.313384	4.17774
0.314035	4.17774
0.314685	4.17775
0.315336	4.17775
0.315987	4.17775
0.316638	4.17775
0.317288	4.17775
0.317939	4.17776
0.31859	4.17776
0.31924	4.17776
0.319891	4.17776
0.320542	4.17777
0.321193	4.17777
0.321843	4.17777
0.322494	4.17777
0.323145	4.17778
0.323796	4.17778
0.324446	4.17778
0.325097	4.17778
0.325748	4.17779
0.326399	4.17779
0.327049	4.17779
0.3277	4.17779
0.328351	4.17779
0.329001	4.1778
0.329652	4.1778
0.330303	4.1778
0.330954	4.1778
0.331604	4.17781
0.332255	4.17781
0.332906	4.17781
0.333557	4.17781
0.334207	4.17782
0.334858	4.17782
0.335509	4.17782
0.33616	4.17782
0.33681	4.17783
0.337461	4.17783
0.338112	4.17783
0.338762	4.17783
0.339413	4.17784
0.340064	4.17784
0.340715	4.17784
0.341365	4.17784
0.342016	4.17785
0.342667	4.17785
0.343318	4.17785
0.343968	4.17786
0.344619	4.17786
0.34527	4.17786
0.345921	4.17786
0.346571	4.17787
0.347222	4.17787
0.347873	4.17787
0.348523	4.17787
0.349174	4.17788
0.349825	4.17788
0.350476	4.17788
0.351126	4.17788
0.351777	4.17789
0.352428	4.17789
0.353079	4.17789
0.353729	4.17789
0.35438	4.1779
0.355031	4.1779
0.355681	4.1779
0.356332	4.17791
0.356983	4.17791
0.357634	4.17791
0.358284	4.17791
0.358935	4.17792
0.359586	4.17792
0.360237	4.17792
0.360887	4.17793
0.361538	4.17793
0.362189	4.17793
0.36284	4.17793
0.36349	4.17794
0.364141	4.17794
0.364792	4.17794
0.365442	4.17794
0.366093	4.17795
0.366744	4.17795
0.367395	4.17795
0.368045	4.17796
0.368696	4.17796
0.369347	4.17796
0.369998	4.17797
0.370648	4.17797
0.371299	4.17797
0.37195	4.17797
0.372601	4.17798
0.373251	4.17798
0.373902	4.17798
0.374553	4.17799
0.375203	4.17799
0.375854	4.17799
0.376505	4.17799
0.377156	4.178
0.377806	4.178
0.378457	4.178
0.379108	4.17801
0.379759	4.17801
0.380409	4.17801
0.38106	4.17802
0.381711	4.17802
0.382362	4.17802
0.383012	4.17802
0.383663	4.17803
0.384314	4.17803
0.384964	4.17803
0.385615	4.17804
0.386266	4.17804
0.386917	4.17804
0.387567	4.17805
0.388218	4.17805
0.388869	4.17805
0.38952	4.17806
0.39017	4.17806
0.390821	4.17806
0.391472	4.17807
0.392122	4.17807
0.392773	4.17807
0.393424	4.17807
0.394075	4.17808
0.394725	4.17808
0.395376	4.17808
0.396027	4.17809
0.396678	4.17809
0.397328	4.17809
0.397979	4.1781
0.39863	4.1781
0.399281	4.1781
0.399931	4.17811
0.400582	4.17811
0.401233	4.17811
0.401883	4.17812
0.402534	4.17812
0.403185	4.17812
0.403836	4.17813
0.404486	4.17813
0.405137	4.17813
0.405788	4.17814
0.406439	4.17814
0.407089	4.17814
0.40774	4.17815
0.408391	4.17815
