x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.193649	2.05479	2.05431
0.1943	2.05479	2.05431
0.194951	2.05573	2.05526
0.195601	2.05665	2.05619
0.196252	2.05756	2.05711
0.196903	2.05846	2.05801
0.197554	2.05934	2.0589
0.198204	2.06021	2.05978
0.198855	2.06106	2.06064
0.199506	2.0619	2.06148
0.200156	2.06273	2.06232
0.200807	2.06354	2.06314
0.201458	2.06434	2.06394
0.202109	2.06513	2.06474
0.202759	2.06591	2.06552
0.20341	2.06667	2.06629
0.204061	2.06742	2.06704
0.204712	2.06816	2.06779
0.205362	2.06888	2.06852
0.206013	2.0696	2.06924
0.206664	2.0703	2.06995
0.207315	2.07099	2.07064
0.207965	2.07167	2.07133
0.208616	2.07234	2.07201
0.209267	2.073	2.07267
0.209917	2.07365	2.07332
0.210568	2.07428	2.07397
0.211219	2.07491	2.0746
0.21187	2.07553	2.07522
0.21252	2.07613	2.07583
0.213171	2.07673	2.07643
0.213822	2.07732	2.07703
0.214473	2.0779	2.07761
0.215123	2.07847	2.07818
0.215774	2.07902	2.07875
0.216425	2.07957	2.0793
0.217076	2.08012	2.07985
0.217726	2.08065	2.08038
0.218377	2.08117	2.08091
0.219028	2.08169	2.08143
0.219678	2.08219	2.08194
0.220329	2.08269	2.08244
0.22098	2.08318	2.08294
0.221631	2.08367	2.08342
0.222281	2.08414	2.0839
0.222932	2.08461	2.08437
0.223583	2.08507	2.08484
0.224234	2.08552	2.08529
0.224884	2.08596	2.08574
0.225535	2.0864	2.08618
0.226186	2.08683	2.08661
0.226837	2.08725	2.08704
0.227487	2.08767	2.08746
0.228138	2.08808	2.08787
0.228789	2.08848	2.08828
0.229439	2.08887	2.08868
0.23009	2.08926	2.08907
0.230741	2.08965	2.08945
0.231392	2.09002	2.08983
0.232042	2.09039	2.09021
0.232693	2.09076	2.09057
0.233344	2.09111	2.09093
0.233995	2.09147	2.09129
0.234645	2.09181	2.09164
0.235296	2.09215	2.09198
0.235947	2.09249	2.09232
0.236597	2.09282	2.09265
0.237248	2.09314	2.09298
0.237899	2.09346	2.0933
0.23855	2.09377	2.09361
0.2392	2.09408	2.09392
0.239851	2.09438	2.09423
0.240502	2.09468	2.09453
0.241153	2.09497	2.09482
0.241803	2.09526	2.09512
0.242454	2.09554	2.0954
0.243105	2.09582	2.09568
0.243756	2.09609	2.09596
0.244406	2.09636	2.09623
0.245057	2.09663	2.09649
0.245708	2.09689	2.09676
0.246358	2.09714	2.09701
0.247009	2.09739	2.09727
0.24766	2.09764	2.09752
0.248311	2.09788	2.09776
0.248961	2.09812	2.098
0.249612	2.09835	2.09824
0.250263	2.09859	2.09847
0.250914	2.09881	2.0987
0.251564	2.09903	2.09892
0.252215	2.09925	2.09914
0.252866	2.09947	2.09936
0.253517	2.09968	2.09957
0.254167	2.09989	2.09978
0.254818	2.10009	2.09999
0.255469	2.10029	2.10019
0.256119	2.10049	2.10039
0.25677	2.10068	2.10059
0.257421	2.10087	2.10078
0.258072	2.10106	2.10097
0.258722	2.10125	2.10115
0.259373	2.10143	2.10134
0.260024	2.1016	2.10151
0.260675	2.10178	2.10169
0.261325	2.10195	2.10186
0.261976	2.10212	2.10203
0.262627	2.10228	2.1022
0.263278	2.10245	2.10236
0.263928	2.1026	2.10253
0.264579	2.10276	2.10268
0.26523	2.10292	2.10284
0.26588	2.10307	2.10299
0.266531	2.10322	2.10314
0.267182	2.10336	2.10329
0.267833	2.1035	2.10343
0.268483	2.10365	2.10358
0.269134	2.10378	2.10371
0.269785	2.10392	2.10385
0.270436	2.10405	2.10399
0.271086	2.10418	2.10412
0.271737	2.10431	2.10425
0.272388	2.10444	2.10438
0.273038	2.10456	2.1045
0.273689	2.10468	2.10462
0.27434	2.1048	2.10474
0.274991	2.10492	2.10486
0.275641	2.10504	2.10498
0.276292	2.10515	2.10509
0.276943	2.10526	2.1052
0.277594	2.10537	2.10531
0.278244	2.10548	2.10542
0.278895	2.10558	2.10553
0.279546	2.10568	2.10563
0.280197	2.10578	2.10573
0.280847	2.10588	2.10583
0.281498	2.10598	2.10593
0.282149	2.10608	2.10603
0.282799	2.10617	2.10612
0.28345	2.10626	2.10621
0.284101	2.10635	2.10631
0.284752	2.10644	2.10639
0.285402	2.10652	2.10648
0.286053	2.10661	2.10657
0.286704	2.10669	2.10665
0.287355	2.10677	2.10673
0.288005	2.10685	2.10681
0.288656	2.10693	2.10689
0.289307	2.10701	2.10697
0.289958	2.10708	2.10705
0.290608	2.10716	2.10712
0.291259	2.10723	2.10719
0.29191	2.1073	2.10727
0.29256	2.10737	2.10734
