x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.193649	-0.346552	-0.0600081	-0.0604862	22499.8	1.00001e+16	9.63249e+10	0.898227
0.1943	-0.346552	-0.0600081	-0.0604862	22499.8	1.00001e+16	9.63249e+10	0.898227
0.194951	-0.346552	-0.0590667	-0.0595374	22499.8	1.00001e+16	9.48138e+10	0.898227
0.195601	-0.346552	-0.0581402	-0.0586034	22499.8	1.00001e+16	9.33265e+10	0.898227
0.196252	-0.346552	-0.0572281	-0.0576841	22499.8	1.00001e+16	9.18625e+10	0.898227
0.196903	-0.346552	-0.0563304	-0.0567792	22499.8	1.00001e+16	9.04214e+10	0.898227
0.197554	-0.346552	-0.0554467	-0.0558886	22499.8	1.00001e+16	8.9003e+10	0.898227
0.198204	-0.346552	-0.0545769	-0.0550118	22499.8	1.00001e+16	8.76068e+10	0.898227
0.198855	-0.346552	-0.0537208	-0.0541489	22499.8	1.00001e+16	8.62325e+10	0.898227
0.199506	-0.346552	-0.0528781	-0.0532994	22499.8	1.00001e+16	8.48798e+10	0.898227
0.200156	-0.346552	-0.0520486	-0.0524633	22499.8	1.00001e+16	8.35483e+10	0.898227
0.200807	-0.346552	-0.0512321	-0.0516403	22499.8	1.00001e+16	8.22377e+10	0.898227
0.201458	-0.346552	-0.0504284	-0.0508303	22499.8	1.00001e+16	8.09476e+10	0.898227
0.202109	-0.346552	-0.0496374	-0.0500329	22499.8	1.00001e+16	7.96778e+10	0.898227
0.202759	-0.346552	-0.0488587	-0.049248	22499.8	1.00001e+16	7.84279e+10	0.898227
0.20341	-0.346552	-0.0480923	-0.0484755	22499.8	1.00001e+16	7.71976e+10	0.898227
0.204061	-0.346552	-0.0473378	-0.0477151	22499.8	1.00001e+16	7.59866e+10	0.898227
0.204712	-0.346552	-0.0465953	-0.0469666	22499.8	1.00001e+16	7.47946e+10	0.898227
0.205362	-0.346552	-0.0458643	-0.0462298	22499.8	1.00001e+16	7.36213e+10	0.898227
0.206013	-0.346552	-0.0451449	-0.0455046	22499.8	1.00001e+16	7.24664e+10	0.898227
0.206664	-0.346552	-0.0444367	-0.0447908	22499.8	1.00001e+16	7.13296e+10	0.898227
0.207315	-0.346552	-0.0437396	-0.0440881	22499.8	1.00001e+16	7.02107e+10	0.898227
0.207965	-0.346552	-0.0430535	-0.0433965	22499.8	1.00001e+16	6.91093e+10	0.898227
0.208616	-0.346552	-0.0423781	-0.0427158	22499.8	1.00001e+16	6.80252e+10	0.898227
0.209267	-0.346552	-0.0417133	-0.0420457	22499.8	1.00001e+16	6.69581e+10	0.898227
0.209917	-0.346552	-0.0410589	-0.0413861	22499.9	1.00001e+16	6.59077e+10	0.898227
0.210568	-0.346552	-0.0404149	-0.0407369	22499.9	1.00001e+16	6.48738e+10	0.898227
0.211219	-0.346552	-0.0397809	-0.0400979	22499.9	1.00001e+16	6.38561e+10	0.898227
0.21187	-0.346552	-0.0391568	-0.0394689	22499.9	1.00001e+16	6.28544e+10	0.898227
0.21252	-0.346552	-0.0385426	-0.0388497	22499.9	1.00001e+16	6.18684e+10	0.898227
0.213171	-0.346552	-0.037938	-0.0382403	22499.9	1.00001e+16	6.08979e+10	0.898227
0.213822	-0.346552	-0.0373428	-0.0376404	22499.9	1.00001e+16	5.99426e+10	0.898227
0.214473	-0.346552	-0.036757	-0.0370499	22499.9	1.00001e+16	5.90023e+10	0.898227
0.215123	-0.346552	-0.0361804	-0.0364687	22499.9	1.00001e+16	5.80767e+10	0.898227
0.215774	-0.346552	-0.0356129	-0.0358967	22499.9	1.00001e+16	5.71657e+10	0.898227
0.216425	-0.346552	-0.0350542	-0.0353336	22499.9	1.00001e+16	5.62689e+10	0.898227
0.217076	-0.346552	-0.0345043	-0.0347793	22499.9	1.00001e+16	5.53862e+10	0.898227
0.217726	-0.346552	-0.0339631	-0.0342337	22499.9	1.00001e+16	5.45174e+10	0.898227
0.218377	-0.346552	-0.0334303	-0.0336967	22499.9	1.00001e+16	5.36622e+10	0.898227
0.219028	-0.346552	-0.0329059	-0.0331681	22499.9	1.00001e+16	5.28204e+10	0.898227
0.219678	-0.346552	-0.0323897	-0.0326478	22499.9	1.00001e+16	5.19918e+10	0.898227
0.220329	-0.346552	-0.0318816	-0.0321356	22499.9	1.00001e+16	5.11762e+10	0.898227
0.22098	-0.346552	-0.0313815	-0.0316315	22499.9	1.00001e+16	5.03734e+10	0.898227
0.221631	-0.346552	-0.0308892	-0.0311353	22499.9	1e+16	4.95832e+10	0.898227
0.222281	-0.346552	-0.0304046	-0.0306469	22499.9	1e+16	4.88054e+10	0.898227
0.222932	-0.346552	-0.0299277	-0.0301661	22499.9	1e+16	4.80398e+10	0.898227
0.223583	-0.346552	-0.0294582	-0.0296929	22499.9	1e+16	4.72862e+10	0.898227
0.224234	-0.346552	-0.0289961	-0.0292271	22499.9	1e+16	4.65444e+10	0.898227
0.224884	-0.346552	-0.0285412	-0.0287687	22499.9	1e+16	4.58142e+10	0.898227
0.225535	-0.346552	-0.0280935	-0.0283174	22499.9	1e+16	4.50956e+10	0.898227
0.226186	-0.346552	-0.0276528	-0.0278732	22499.9	1e+16	4.43881e+10	0.898227
0.226837	-0.346552	-0.027219	-0.0274359	22499.9	1e+16	4.36918e+10	0.898227
0.227487	-0.346552	-0.026792	-0.0270055	22499.9	1e+16	4.30064e+10	0.898227
0.228138	-0.346552	-0.0263718	-0.0265819	22499.9	1e+16	4.23318e+10	0.898227
0.228789	-0.346552	-0.0259581	-0.0261649	22499.9	1e+16	4.16677e+10	0.898227
0.229439	-0.346552	-0.0255509	-0.0257545	22499.9	1e+16	4.10141e+10	0.898227
0.23009	-0.346552	-0.0251501	-0.0253505	22499.9	1e+16	4.03707e+10	0.898227
0.230741	-0.346552	-0.0247555	-0.0249528	22499.9	1e+16	3.97374e+10	0.898227
0.231392	-0.346552	-0.0243672	-0.0245614	22499.9	1e+16	3.91141e+10	0.898227
0.232042	-0.346552	-0.0239849	-0.0241761	22499.9	1e+16	3.85005e+10	0.898227
