x [um]	Potential [eV]
0.193649	0.248718
0.1943	0.248718
0.194951	0.248718
0.195601	0.248718
0.196252	0.248718
0.196903	0.248718
0.197554	0.248717
0.198204	0.248717
0.198855	0.248717
0.199506	0.248717
0.200156	0.248717
0.200807	0.248717
0.201458	0.248717
0.202109	0.248717
0.202759	0.248716
0.20341	0.248716
0.204061	0.248716
0.204712	0.248716
0.205362	0.248716
0.206013	0.248716
0.206664	0.248716
0.207315	0.248715
0.207965	0.248715
0.208616	0.248715
0.209267	0.248715
0.209917	0.248715
0.210568	0.248715
0.211219	0.248715
0.21187	0.248715
0.21252	0.248714
0.213171	0.248714
0.213822	0.248714
0.214473	0.248714
0.215123	0.248714
0.215774	0.248714
0.216425	0.248714
0.217076	0.248713
0.217726	0.248713
0.218377	0.248713
0.219028	0.248713
0.219678	0.248713
0.220329	0.248713
0.22098	0.248713
0.221631	0.248712
0.222281	0.248712
0.222932	0.248712
0.223583	0.248712
0.224234	0.248712
0.224884	0.248712
0.225535	0.248712
0.226186	0.248712
0.226837	0.248711
0.227487	0.248711
0.228138	0.248711
0.228789	0.248711
0.229439	0.248711
0.23009	0.248711
0.230741	0.248711
0.231392	0.24871
0.232042	0.24871
0.232693	0.24871
0.233344	0.24871
0.233995	0.24871
0.234645	0.24871
0.235296	0.24871
0.235947	0.248709
0.236597	0.248709
0.237248	0.248709
0.237899	0.248709
0.23855	0.248709
0.2392	0.248709
0.239851	0.248709
0.240502	0.248709
0.241153	0.248708
0.241803	0.248708
0.242454	0.248708
0.243105	0.248708
0.243756	0.248708
0.244406	0.248708
0.245057	0.248708
0.245708	0.248707
0.246358	0.248707
0.247009	0.248707
0.24766	0.248707
0.248311	0.248707
0.248961	0.248707
0.249612	0.248707
0.250263	0.248706
0.250914	0.248706
0.251564	0.248706
0.252215	0.248706
0.252866	0.248706
0.253517	0.248706
0.254167	0.248706
0.254818	0.248706
0.255469	0.248705
0.256119	0.248705
0.25677	0.248705
0.257421	0.248705
0.258072	0.248705
0.258722	0.248705
0.259373	0.248705
0.260024	0.248704
0.260675	0.248704
0.261325	0.248704
0.261976	0.248704
0.262627	0.248704
0.263278	0.248704
0.263928	0.248704
0.264579	0.248703
0.26523	0.248703
0.26588	0.248703
0.266531	0.248703
0.267182	0.248703
0.267833	0.248703
0.268483	0.248703
0.269134	0.248703
0.269785	0.248702
0.270436	0.248702
0.271086	0.248702
0.271737	0.248702
0.272388	0.248702
0.273038	0.248702
0.273689	0.248702
0.27434	0.248701
0.274991	0.248701
0.275641	0.248701
0.276292	0.248701
0.276943	0.248701
0.277594	0.248701
0.278244	0.248701
0.278895	0.2487
0.279546	0.2487
0.280197	0.2487
0.280847	0.2487
0.281498	0.2487
0.282149	0.2487
0.282799	0.2487
0.28345	0.2487
0.284101	0.248699
0.284752	0.248699
0.285402	0.248699
0.286053	0.248699
0.286704	0.248699
0.287355	0.248699
0.288005	0.248699
0.288656	0.248698
0.289307	0.248698
0.289958	0.248698
0.290608	0.248698
0.291259	0.248698
0.29191	0.248698
0.29256	0.248698
0.293211	0.248697
0.293862	0.248697
0.294513	0.248697
0.295163	0.248697
0.295814	0.248697
0.296465	0.248697
0.297116	0.248697
0.297766	0.248696
0.298417	0.248696
0.299068	0.248696
0.299719	0.248696
0.300369	0.248696
0.30102	0.248696
0.301671	0.248696
0.302321	0.248696
0.302972	0.248695
0.303623	0.248695
0.304274	0.248695
0.304924	0.248695
0.305575	0.248695
0.306226	0.248695
0.306877	0.248695
0.307527	0.248694
0.308178	0.248694
0.308829	0.248694
0.30948	0.248694
0.31013	0.248694
0.310781	0.248694
0.311432	0.248694
