x [um]	Ec	Ev	Ei	Efn	Efp
0.193649	0.302957	-0.817043	-0.257043	-0.603595	-0.603595
0.1943	0.302957	-0.817043	-0.257043	-0.227211	-0.603595
0.194951	0.302957	-0.817043	-0.257043	-0.209298	-0.603595
0.195601	0.302957	-0.817043	-0.257043	-0.19882	-0.603595
0.196252	0.302957	-0.817043	-0.257043	-0.191385	-0.603595
0.196903	0.302957	-0.817043	-0.257043	-0.185619	-0.603595
0.197554	0.302957	-0.817043	-0.257043	-0.180907	-0.603595
0.198204	0.302958	-0.817042	-0.257042	-0.176923	-0.603595
0.198855	0.302958	-0.817042	-0.257042	-0.173472	-0.603595
0.199506	0.302958	-0.817042	-0.257042	-0.170428	-0.603595
0.200156	0.302958	-0.817042	-0.257042	-0.167705	-0.603595
0.200807	0.302958	-0.817042	-0.257042	-0.165242	-0.603595
0.201458	0.302958	-0.817042	-0.257042	-0.162994	-0.603595
0.202109	0.302958	-0.817042	-0.257042	-0.160925	-0.603595
0.202759	0.302959	-0.817041	-0.257041	-0.15901	-0.603595
0.20341	0.302959	-0.817041	-0.257041	-0.157227	-0.603595
0.204061	0.302959	-0.817041	-0.257041	-0.155559	-0.603595
0.204712	0.302959	-0.817041	-0.257041	-0.153992	-0.603595
0.205362	0.302959	-0.817041	-0.257041	-0.152515	-0.603595
0.206013	0.302959	-0.817041	-0.257041	-0.151118	-0.603595
0.206664	0.302959	-0.817041	-0.257041	-0.149792	-0.603595
0.207315	0.302959	-0.817041	-0.257041	-0.148531	-0.603595
0.207965	0.30296	-0.81704	-0.25704	-0.147329	-0.603595
0.208616	0.30296	-0.81704	-0.25704	-0.14618	-0.603595
0.209267	0.30296	-0.81704	-0.25704	-0.14508	-0.603595
0.209917	0.30296	-0.81704	-0.25704	-0.144025	-0.603595
0.210568	0.30296	-0.81704	-0.25704	-0.143011	-0.603595
0.211219	0.30296	-0.81704	-0.25704	-0.142036	-0.603595
0.21187	0.30296	-0.81704	-0.25704	-0.141096	-0.603595
0.21252	0.302961	-0.817039	-0.257039	-0.140189	-0.603595
0.213171	0.302961	-0.817039	-0.257039	-0.139313	-0.603595
0.213822	0.302961	-0.817039	-0.257039	-0.138466	-0.603595
0.214473	0.302961	-0.817039	-0.257039	-0.137645	-0.603595
0.215123	0.302961	-0.817039	-0.257039	-0.13685	-0.603595
0.215774	0.302961	-0.817039	-0.257039	-0.136078	-0.603595
0.216425	0.302961	-0.817039	-0.257039	-0.135329	-0.603595
0.217076	0.302961	-0.817039	-0.257039	-0.134601	-0.603595
0.217726	0.302962	-0.817038	-0.257038	-0.133893	-0.603595
0.218377	0.302962	-0.817038	-0.257038	-0.133204	-0.603595
0.219028	0.302962	-0.817038	-0.257038	-0.132532	-0.603595
0.219678	0.302962	-0.817038	-0.257038	-0.131878	-0.603595
0.220329	0.302962	-0.817038	-0.257038	-0.13124	-0.603595
0.22098	0.302962	-0.817038	-0.257038	-0.130617	-0.603595
0.221631	0.302962	-0.817038	-0.257038	-0.130009	-0.603595
0.222281	0.302963	-0.817037	-0.257037	-0.129414	-0.603595
0.222932	0.302963	-0.817037	-0.257037	-0.128834	-0.603595
0.223583	0.302963	-0.817037	-0.257037	-0.128266	-0.603595
0.224234	0.302963	-0.817037	-0.257037	-0.12771	-0.603595
0.224884	0.302963	-0.817037	-0.257037	-0.127166	-0.603595
0.225535	0.302963	-0.817037	-0.257037	-0.126633	-0.603595
0.226186	0.302963	-0.817037	-0.257037	-0.126111	-0.603595
0.226837	0.302964	-0.817036	-0.257036	-0.125599	-0.603595
0.227487	0.302964	-0.817036	-0.257036	-0.125097	-0.603595
0.228138	0.302964	-0.817036	-0.257036	-0.124604	-0.603595
0.228789	0.302964	-0.817036	-0.257036	-0.124121	-0.603595
0.229439	0.302964	-0.817036	-0.257036	-0.123647	-0.603595
0.23009	0.302964	-0.817036	-0.257036	-0.123181	-0.603595
0.230741	0.302964	-0.817036	-0.257036	-0.122724	-0.603595
0.231392	0.302964	-0.817036	-0.257036	-0.122274	-0.603594
0.232042	0.302965	-0.817035	-0.257035	-0.121833	-0.603594
0.232693	0.302965	-0.817035	-0.257035	-0.121398	-0.603594
0.233344	0.302965	-0.817035	-0.257035	-0.120971	-0.603594
0.233995	0.302965	-0.817035	-0.257035	-0.120551	-0.603594
0.234645	0.302965	-0.817035	-0.257035	-0.120137	-0.603594
0.235296	0.302965	-0.817035	-0.257035	-0.11973	-0.603594
0.235947	0.302965	-0.817035	-0.257035	-0.119329	-0.603594
0.236597	0.302966	-0.817034	-0.257034	-0.118935	-0.603594
0.237248	0.302966	-0.817034	-0.257034	-0.118546	-0.603594
0.237899	0.302966	-0.817034	-0.257034	-0.118163	-0.603594
0.23855	0.302966	-0.817034	-0.257034	-0.117786	-0.603594
0.2392	0.302966	-0.817034	-0.257034	-0.117414	-0.603594
0.239851	0.302966	-0.817034	-0.257034	-0.117047	-0.603594
0.240502	0.302966	-0.817034	-0.257034	-0.116686	-0.603594
0.241153	0.302967	-0.817033	-0.257033	-0.116329	-0.603594
0.241803	0.302967	-0.817033	-0.257033	-0.115977	-0.603594
0.242454	0.302967	-0.817033	-0.257033	-0.11563	-0.603594
0.243105	0.302967	-0.817033	-0.257033	-0.115288	-0.603594
0.243756	0.302967	-0.817033	-0.257033	-0.11495	-0.603594
0.244406	0.302967	-0.817033	-0.257033	-0.114617	-0.603594
0.245057	0.302967	-0.817033	-0.257033	-0.114287	-0.603594
0.245708	0.302967	-0.817033	-0.257033	-0.113962	-0.603594
0.246358	0.302968	-0.817032	-0.257032	-0.113641	-0.603594
0.247009	0.302968	-0.817032	-0.257032	-0.113324	-0.603594
0.24766	0.302968	-0.817032	-0.257032	-0.113011	-0.603594
0.248311	0.302968	-0.817032	-0.257032	-0.112701	-0.603594
0.248961	0.302968	-0.817032	-0.257032	-0.112395	-0.603594
0.249612	0.302968	-0.817032	-0.257032	-0.112093	-0.603594
0.250263	0.302968	-0.817032	-0.257032	-0.111794	-0.603594
0.250914	0.302969	-0.817031	-0.257031	-0.111499	-0.603594
0.251564	0.302969	-0.817031	-0.257031	-0.111207	-0.603594
0.252215	0.302969	-0.817031	-0.257031	-0.110918	-0.603594
0.252866	0.302969	-0.817031	-0.257031	-0.110632	-0.603594
0.253517	0.302969	-0.817031	-0.257031	-0.11035	-0.603594
0.254167	0.302969	-0.817031	-0.257031	-0.11007	-0.603594
0.254818	0.302969	-0.817031	-0.257031	-0.109794	-0.603594
0.255469	0.30297	-0.81703	-0.25703	-0.10952	-0.603594
0.256119	0.30297	-0.81703	-0.25703	-0.10925	-0.603594
0.25677	0.30297	-0.81703	-0.25703	-0.108982	-0.603594
0.257421	0.30297	-0.81703	-0.25703	-0.108717	-0.603594
0.258072	0.30297	-0.81703	-0.25703	-0.108454	-0.603594
0.258722	0.30297	-0.81703	-0.25703	-0.108194	-0.603594
0.259373	0.30297	-0.81703	-0.25703	-0.107937	-0.603594
0.260024	0.30297	-0.81703	-0.25703	-0.107682	-0.603594
0.260675	0.302971	-0.817029	-0.257029	-0.10743	-0.603594
0.261325	0.302971	-0.817029	-0.257029	-0.10718	-0.603594
0.261976	0.302971	-0.817029	-0.257029	-0.106933	-0.603594
0.262627	0.302971	-0.817029	-0.257029	-0.106688	-0.603594
0.263278	0.302971	-0.817029	-0.257029	-0.106445	-0.603594
0.263928	0.302971	-0.817029	-0.257029	-0.106205	-0.603594
