x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
1.936492e-01	-3.465520e-01	-6.000807e-02	-6.048624e-02	2.249978e+04	1.000010e+16	9.632489e+10	8.982269e-01
1.942999e-01	-3.465520e-01	-6.000807e-02	-6.048624e-02	2.249978e+04	1.000010e+16	9.632489e+10	8.982269e-01
1.949506e-01	-3.465520e-01	-5.906672e-02	-5.953740e-02	2.249979e+04	1.000009e+16	9.481384e+10	8.982269e-01
1.956014e-01	-3.465520e-01	-5.814015e-02	-5.860344e-02	2.249979e+04	1.000009e+16	9.332650e+10	8.982269e-01
1.962521e-01	-3.465520e-01	-5.722811e-02	-5.768413e-02	2.249979e+04	1.000009e+16	9.186249e+10	8.982269e-01
1.969028e-01	-3.465520e-01	-5.633038e-02	-5.677924e-02	2.249980e+04	1.000009e+16	9.042144e+10	8.982269e-01
1.975536e-01	-3.465520e-01	-5.544673e-02	-5.588855e-02	2.249980e+04	1.000009e+16	8.900300e+10	8.982269e-01
1.982043e-01	-3.465520e-01	-5.457694e-02	-5.501183e-02	2.249980e+04	1.000009e+16	8.760681e+10	8.982269e-01
1.988550e-01	-3.465520e-01	-5.372079e-02	-5.414887e-02	2.249981e+04	1.000009e+16	8.623253e+10	8.982269e-01
1.995058e-01	-3.465520e-01	-5.287808e-02	-5.329944e-02	2.249981e+04	1.000008e+16	8.487980e+10	8.982269e-01
2.001565e-01	-3.465520e-01	-5.204858e-02	-5.246333e-02	2.249981e+04	1.000008e+16	8.354829e+10	8.982269e-01
2.008072e-01	-3.465519e-01	-5.123210e-02	-5.164034e-02	2.249981e+04	1.000008e+16	8.223767e+10	8.982269e-01
2.014580e-01	-3.465519e-01	-5.042843e-02	-5.083027e-02	2.249982e+04	1.000008e+16	8.094761e+10	8.982268e-01
2.021087e-01	-3.465519e-01	-4.963736e-02	-5.003290e-02	2.249982e+04	1.000008e+16	7.967778e+10	8.982268e-01
2.027594e-01	-3.465519e-01	-4.885871e-02	-4.924803e-02	2.249982e+04	1.000008e+16	7.842788e+10	8.982268e-01
2.034102e-01	-3.465519e-01	-4.809226e-02	-4.847548e-02	2.249983e+04	1.000008e+16	7.719758e+10	8.982268e-01
2.040609e-01	-3.465519e-01	-4.733784e-02	-4.771505e-02	2.249983e+04	1.000008e+16	7.598659e+10	8.982268e-01
2.047116e-01	-3.465519e-01	-4.659526e-02	-4.696655e-02	2.249983e+04	1.000007e+16	7.479459e+10	8.982268e-01
2.053623e-01	-3.465519e-01	-4.586432e-02	-4.622979e-02	2.249983e+04	1.000007e+16	7.362129e+10	8.982268e-01
2.060131e-01	-3.465519e-01	-4.514485e-02	-4.550459e-02	2.249984e+04	1.000007e+16	7.246639e+10	8.982268e-01
2.066638e-01	-3.465519e-01	-4.443667e-02	-4.479076e-02	2.249984e+04	1.000007e+16	7.132961e+10	8.982268e-01
2.073145e-01	-3.465519e-01	-4.373959e-02	-4.408813e-02	2.249984e+04	1.000007e+16	7.021067e+10	8.982268e-01
2.079653e-01	-3.465519e-01	-4.305345e-02	-4.339652e-02	2.249984e+04	1.000007e+16	6.910927e+10	8.982268e-01
2.086160e-01	-3.465519e-01	-4.237808e-02	-4.271577e-02	2.249985e+04	1.000007e+16	6.802516e+10	8.982268e-01
2.092667e-01	-3.465519e-01	-4.171330e-02	-4.204569e-02	2.249985e+04	1.000007e+16	6.695805e+10	8.982268e-01
2.099175e-01	-3.465519e-01	-4.105894e-02	-4.138612e-02	2.249985e+04	1.000007e+16	6.590768e+10	8.982268e-01
